Organization,Active,License,UBI,Type,Address,Address Line 2,City,State,County,Zip,CreateDate,DayPhone
CACTUS BLOSSOM LLC,PENDING (ISSUED),425750,6.03416E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1845 GURLEY RD STE B,,GRANGER,WA,YAKIMA,989329444,20180523,2067699776
KUSH VALLEY,ACTIVE (ISSUED),416606,6.03351E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,5004 WEISHAAR RD E,,ODESSA,WA,LINCOLN,991596000,20180320,5103336835
FAIRWINDS MANUFACTURING,PENDING (ISSUED),414286,6.02261E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,5913 NE 127TH AVE STE 400,,VANCOUVER,WA,CLARK,986825889,20180606,3609034619
ORACLE ACRES,ACTIVE (ISSUED),426545,6.03352E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,4051 HAMMER DR STE 103,STE 103,BELLINGHAM,WA,WHATCOM,982267665,20180329,3603067327
GROOVY GREENS,ACTIVE (ISSUED),416689,6.03446E+15,MARIJUANA PRODUCER TIER 2,"7800 POSTMA RD, STE 3",,MOXEE,WA,YAKIMA,989360000,20180329,2063809089
BELLINGHAM BUD CO.,PENDING (ISSUED),416323,6.03346E+15,MARIJUANA PROCESSOR,8912 KIMMIE ST SW STE A,,TUMWATER,WA,THURSTON,985120000,20180428,2069203637
DAN-PAN PROCESSING LLC,ACTIVE (ISSUED),416523,6.03358E+15,MARIJUANA PROCESSOR,6311 RICH RD SE,,OLYMPIA,WA,THURSTON,985010000,20180411,3604021406
CONTENDER GARDENS,PENDING (ISSUED),413169,6.03353E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,7023 N JULIA ST,,SPOKANE,WA,SPOKANE,992170000,20180427,2066017585
HERBAL HEALING,ACTIVE (ISSUED),423775,6.03583E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,3062 SW HWY 16 STE A,,BREMERTON,WA,KITSAP,983120000,20180615,2064278666
PMR INDUSTRIES,ACTIVE (ISSUED),425851,6.03551E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,11016 BRIDGEPORT WAY SW,,LAKEWOOD,WA,PIERCE,984993514,20180530,2536786934
BOHEMIAN ENTERPRISES,ACTIVE (ISSUED),423332,6.03356E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,7800 POSTMA RD STE 8,,MOXEE,WA,YAKIMA,989364420,20180529,4257657130
SUBLIME VENTURES,ACTIVE (ISSUED),416305,6.03014E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,14107 PIONEER WAY E,A-1,PUYALLUP,WA,PIERCE,983720000,20180501,4252382090
LUX POT SHOP,ACTIVE (ISSUED),414160,6.03415E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,10333 LAKE CITY WAY NE #101,,SEATTLE,WA,KING,981257737,20180618,2069791960
PROPACWA,ACTIVE (ISSUED),413133,6.03283E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,5725 CEDAR FLATS RD SW STE 1,,OLYMPIA,WA,THURSTON,985129415,20180521,3607908549
JC MANAGEMENT COMPANY,ACTIVE (ISSUED),416164,6.03257E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,5506 LACKEY CT STE 1,,VAUGHN,WA,PIERCE,983940000,20180329,2538518074
GOATHOUSE,ACTIVE (ISSUED),416837,6.03392E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,2412 ANDERSON HILL RD SW STE A,SUITE A,PORT ORCHARD,WA,KITSAP,983679311,20180502,3609082447
GOODIES,ACTIVE (ISSUED),425184,6.03355E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,2916 STATE ST STE 303,,EVERETT,WA,SNOHOMISH,982013842,20180409,3602220117
HIGH-5 CANNABIS,ACTIVE (ISSUED),421702,6.03404E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6511 NE 137TH AVE,,VANCOUVER,WA,CLARK,986825948,20180321,3609475404
BMB LLC,ACTIVE (ISSUED),426973,6.03359E+15,MARIJUANA PRODUCER TIER 2,9642 LUNDEEN RD SW UNIT B,,ROCHESTER,WA,THURSTON,985799016,20180621,2062915172
SUGARLEAF,ACTIVE (ISSUED),417169,6.03358E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,220 E JACKSON AVE,,SPOKANE,WA,SPOKANE,992072153,20180411,
RESINATE,ACTIVE (ISSUED),417076,6.03561E+15,MARIJUANA PRODUCER TIER 2,4924 FOXHALL SR NE,,OLYMPIA,WA,THURSTON,985161117,20180409,2539050591
ARISTOCRAT CANNABIS LLC,ACTIVE (ISSUED),422420,6.03589E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,285 CANAL RD,,TOUTLE,WA,COWLITZ,986499703,20180308,2066596531
GREEN GOLD TRUST,ACTIVE (ISSUED),414229,6.03178E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1199 W CUNNINGHAM RD F1,STE F1,OTHELLO,WA,ADAMS,993440000,20180507,2032401211
GREENHOUSE OF ARLINGTON,ACTIVE (ISSUED),412522,6.03352E+15,MARIJUANA PROCESSOR,28611 139TH AVE NE STE B,,ARLINGTON,WA,SNOHOMISH,982239302,20180626,2069404980
CARIBOU CORNER CANNABIS,ACTIVE (ISSUED),413700,6.02209E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,23251 HWY 20,,OKANOGAN,WA,OKANOGAN,988400000,20180309,5094296082
GUERRILLA GREENS,ACTIVE (ISSUED),412836,6.03353E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,5402 216TH AVENUE SW,,CENTRALIA,WA,THURSTON,985310000,20180413,3607905239
NWCS,ACTIVE (ISSUED),424481,6.04095E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,37 ENTERPRISE LN,,ELMA,WA,GRAYS HARBOR,985410000,20180328,4254552291
NORTH COAST GROWERS,PENDING (ISSUED),413163,6.03352E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,12743 QUANTUM LANE BLDG 6,,ANACORTES,WA,SKAGIT,982218364,20180522,2062289000
BUD HUT,ACTIVE (ISSUED),413901,6.03359E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,ISLAND,982828833,20180529,4254789928
LUCID PUYALLUP,PENDING (ISSUED),352673,6.01637E+15,MARIJUANA RETAILER,7924 RIVER ROAD,,PUYALLUP,WA,PIERCE,983713839,20180516,2539732476
AMERICAN CANNABIS COMPANY,ACTIVE (ISSUED),416300,6.04002E+15,MARIJUANA PRODUCER TIER 3,15505 WEBBER CANYON RD STE C,STE C,BENTON CITY,WA,BENTON,993200000,20180614,5093080996
CALVIN'S BEST,ACTIVE (ISSUED),417263,6.00579E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4896 MCCONIHE RD NE SITE A,,MOSES LAKE,WA,GRANT,988379338,20180212,5097629530
SOUND CANNABIS,ACTIVE (ISSUED),417237,6.03477E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,5713 OLYMPIC HWY,,ABERDEEN,WA,GRAYS HARBOR,985200000,20180612,3603460157
LUX POT SHOP,ACTIVE (ISSUED),414532,6.03415E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4912 17TH AVE NW STE A,,SEATTLE,WA,KING,981074726,20180618,2062459919
CARINNA'S HERBS OF GRACE,ACTIVE (ISSUED),413451,6.0347E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2615 NE 113TH ST,,SEATTLE,WA,KING,981256794,20180607,2064079373
HIGH COUNTRY POTPORRIE,ACTIVE (ISSUED),412543,6.03318E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,126 NEWMAN CREEK RD,UNIT 8,ELMA,WA,GRAYS HARBOR,985419536,20180309,4257605177
HIGH END FARMS,ACTIVE (ISSUED),414200,6.04125E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,916 KENTUCKY ST,,BELLINGHAM,WA,WHATCOM,982254226,20180529,4253432535
THE SOURCE,PENDING (ISSUED),420292,6.03148E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,5300 17TH AVE NW,STE A,SEATTLE,WA,KING,981073815,20180223,2063952036
DID CROPS,ACTIVE (ISSUED),425045,6.03358E+15,MARIJUANA PRODUCER TIER 2,7182 RD 16 NE STE A2,,MOSES LAKE,WA,GRANT,988379325,20180531,2535093665
NW GROWER,ACTIVE (ISSUED),412214,6.04127E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,2855 US 97 #B,,PESHASTIN,WA,CHELAN,988470000,20180612,4252601848
THE HEIGHTS CONSERVATORY,ACTIVE (ISSUED),413656,6.03357E+15,MARIJUANA PRODUCER TIER 3,6994 RD 10 NE,,MOSES LAKE,WA,GRANT,988370000,20180625,2065790662
ALMOJERA FARMS,PENDING (ISSUED),416571,6.03362E+15,MARIJUANA PRODUCER TIER 2,4593 BAY RD STE B,,BLAINE,WA,WHATCOM,982300000,20180608,3603932690
"MOUNT BAKER RETAIL PARTNERSHIP,LLC",ACTIVE (ISSUED),422981,6.03357E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,12539 E MARGINAL WAY S STE C,,TUKWILA,WA,KING,981682560,20180619,4257530673
JDA SECURITY ALLIANCE,ACTIVE (ISSUED),415754,6.03014E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,1106 CENTER ST,,TACOMA,WA,PIERCE,984098035,20180417,2063641738
BUD HUT,ACTIVE (ISSUED),415504,6.03359E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,11603 HWY 99,,EVERETT,WA,SNOHOMISH,982044811,20180530,4253531449
THE HERBERY,ACTIVE (ISSUED),426563,6.03355E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6018 NE ST JOHNS RD STE D,,VANCOUVER,WA,CLARK,986610000,20180403,3608417505
CANNA REPUBLIC,ACTIVE (ISSUED),414573,6.03452E+15,MARIJUANA RETAILER,11463 RAINIER AVE S STE A,,SEATTLE,WA,KING,981783963,20180502,2066870523
RIDGEVIEW FARMS,ACTIVE (ISSUED),417223,6.03498E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,6726 ROAD S SE STE A,,WARDEN,WA,GRANT,988579560,20180413,5095911209
COPPERHEAD CANNABIS,ACTIVE (ISSUED),412271,6.0335E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,34117 140TH ST SE,SUITE A,SULTAN,WA,SNOHOMISH,982947621,20180612,3603481092
FBR SOUTH BAY,ACTIVE (ISSUED),412041,6.02813E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,11916 FIDALGO BAY RD,,ANACORTES,WA,SKAGIT,982219348,20180315,3604668802
PRIORI CULTIVATION,ACTIVE (ISSUED),415749,6.04153E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,186 CHEROKEE RD STE C,,OMAK,WA,OKANOGAN,988419476,20180502,5093891056
BC LABS,PENDING (ISSUED),417135,6.03361E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,199 EASY ST,,PORT ANGELES,WA,CLALLAM,983620000,20180526,3604613555
SALISH SEA INDUSTRIES,ACTIVE (ISSUED),413942,6.03347E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,17702 SE MAY VALLEY RD  STE B,,RENTON,WA,KING,980590000,20180518,2062908068
DAYANDNIGHT,ACTIVE (ISSUED),412049,6.03121E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,11407 67TH AVE NE,,ARLINGTON,WA,SNOHOMISH,982238802,20180418,2069099667
THE CANNABIS OASIS,ACTIVE (ISSUED),423372,6.0348E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,2128 S 37TH ST,,TACOMA,WA,PIERCE,984097445,20180524,3604026368
YOTANEE LTD.,ACTIVE (ISSUED),416139,6.02769E+15,MARIJUANA PROCESSOR,410 HWY 101,,HOQUIAM,WA,GRAYS HARBOR,985500102,20180601,2069991112
KHUSH KUSH,PENDING (ISSUED),413145,6.0178E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4562 MERIDIAN ST #A,,BELLINGHAM,WA,WHATCOM,982269191,20180529,3603063053
LAUGHING MAN FARMS,ACTIVE (ISSUED),417382,6.0349E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,12113 SW CEMETARY RD,,VASHON ISLAND,WA,KING,980700000,20180517,2535763806
SACRED HERB FARMS,ACTIVE (ISSUED),413466,6.03356E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,26425 S RUPP RD STE 10,,CHENEY,WA,SPOKANE,990049290,20180620,5098687448
KOKUA SERVICES,ACTIVE (ISSUED),412074,6.03311E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,8401 HOGUM BAY LN NE,,LACEY,WA,THURSTON,985163125,20180426,8085469984
SEATTLE SUPER CHRONICS,ACTIVE (ISSUED),417352,6.03359E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,26105 162ND AVE E SUITE A,,ORTING,WA,PIERCE,983608200,20180411,3608933581
BUDD'S SUNNY DAYS GROWERS,ACTIVE (ISSUED),412903,6.03355E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,13811 SLOKWALM LN SE STE A,,RAINIER,WA,THURSTON,985769310,20180605,2536537358
INDOOR ORGANICS,ACTIVE (ISSUED),415773,6.03311E+15,MARIJUANA PROCESSOR,1571 SUMMIT VIEW RD  BLDG A,BLDG A,CLE ELUM,WA,KITTITAS,989220000,20180412,2537971520
EMERALD ZONE,ACTIVE (ISSUED),416414,6.03356E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,7521 POSTMA RD UNIT G,UNIT G,MOXEE,WA,YAKIMA,989369706,20180423,2539831428
HWY 420,ACTIVE (ISSUED),413843,6.03406E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1110 CHARLESTON BEACH RD W,,BREMERTON,WA,KITSAP,983124504,20180616,3609323182
SATIVA SISTERS,PENDING (ISSUED),413739,6.03354E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,10525 E TRENT AVE STE 1,,SPOKANE,WA,SPOKANE,992064516,20180618,2086603909
RMNP,PENDING (ISSUED),413154,6.03315E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,57406 N THOMAS RD STE B,,BENTON CITY,WA,BENTON,993200000,20180619,5096279240
RNW AGRICULTURAL,ACTIVE (ISSUED),417107,6.03351E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,4873 GUIDE MERIDIAN RD,,BELLINGHAM,WA,WHATCOM,982268082,20180419,3609414518
GRW AGRICULTURE,PENDING (ISSUED),413705,6.0332E+15,MARIJUANA PRODUCER TIER 3,3719 188TH ST NE STE C,,ARLINGTON,WA,SNOHOMISH,982238708,20180416,2063550528
GREEN HAVEN LLC,ACTIVE (ISSUED),421941,6.03351E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1311 STATE ROUTE 530 NE,UNIT B,DARRINGTON,WA,SNOHOMISH,982419782,20180507,4253124423
SEA OF GREEN,ACTIVE (ISSUED),416785,6.04148E+15,MARIJUANA PROCESSOR,15021 GIBRALTER RD,STE A,ANACORTES,WA,SKAGIT,982218617,20180521,3603991899
BAYVIEW CANNABIS,ACTIVE (ISSUED),410738,6.04156E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,2940 S M STREET STE C,,TACOMA,WA,PIERCE,984098241,20180417,2066794570
IGUANA INDUSTRIES,ACTIVE (ISSUED),415979,6.03355E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,14504 391ST AVE SE STE A,,GOLD BAR,WA,SNOHOMISH,982519320,20171215,4257373259
HAVE A HEART,PENDING (ISSUED),423379,6.03354E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,115 BLANCHARD ST,,SEATTLE,WA,KING,981212020,20180604,5202508988
BOTANICAL ARTS,ACTIVE (ISSUED),415930,6.03358E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,30121 HILLIS RD,UNIT B,ARLINGTON,WA,SNOHOMISH,982239386,20171222,3604038931
HERBAL E SCENTS,ACTIVE (ISSUED),411970,6.02484E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,120 NE CANNING DR,,COLVILLE,WA,STEVENS,991142004,20180517,5096844420
HORSESHOE PINES,ACTIVE (ISSUED),412985,6.03463E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,8629 LITTLEROCK RD SW SUITE A,,OLYMPIA,WA,THURSTON,985127457,20180413,3603500805
SATIVA GROUP,ACTIVE (ISSUED),416417,6.03356E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,7521 POSTMA RD   STE A,STE A,MOXEE,WA,YAKIMA,989369706,20180409,5092631186
SEATAC PROCESSING GROUP,PENDING (ISSUED),424047,6.03359E+15,MARIJUANA PROCESSOR,233 BRUENN AVE,,BREMERTON,WA,KITSAP,983123107,20180625,2535143948
TWO BROTHERS,ACTIVE (ISSUED),413690,6.01229E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,12125 TREOSTI RD STE A,,SNOHOMISH,WA,SNOHOMISH,982900000,20180504,2066502782
ASPEN HOLLOW,PENDING (ISSUED),412635,6.02667E+15,MARIJUANA PRODUCER TIER 3,18407 STATE ROUTE 20,,WINTHROP,WA,OKANOGAN,988620000,20180328,2087204799
GENSYS ONE,ACTIVE (ISSUED),412593,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,35702 NW TOENJES RD STE 1,425584,WOODLAND,WA,CLARK,986743721,20180502,5035238448
EAGLE TREE FARMS,PENDING (ISSUED),416683,6.02987E+15,MARIJUANA PRODUCER TIER 2,6369 MT BAKER HWY STE A,,DEMING,WA,WHATCOM,982449547,20180605,3603935507
HAPPY TIME,ACTIVE (ISSUED),354876,6.03516E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1315 N 1ST ST,,YAKIMA,WA,YAKIMA,989011801,20180605,5094802097
HERBAN MYTH,ACTIVE (ISSUED),412123,6.03347E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,281 MILL CREEK RD STE A,,LONGVIEW,WA,COWLITZ,986329783,20180521,3605777734
"GRANDMA'S GARDEN, LLC",PENDING (ISSUED),413460,6.03355E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,2916 STATE STREET STE J,,EVERETT,WA,SNOHOMISH,982013842,20180606,2067143332
HANG ROOTS,ACTIVE (ISSUED),415771,6.03236E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,2515 HARTFORD DR STE B,,LAKE STEVENS,WA,SNOHOMISH,982580000,20180612,4252203318
DIESEL PROPAGATION,ACTIVE (ISSUED),416887,6.03361E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,4260 PACIFIC HWY,,BELLINGHAM,WA,WHATCOM,982260000,20180514,2067558086
EUPHORIUM,ACTIVE (ISSUED),414495,6.03355E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,21127 STATE ROUTE 9 SE,,WOODINVILLE,WA,SNOHOMISH,980729703,20180606,2063352683
THE JOINT,PENDING (ISSUED),421804,6.03353E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4336 ROOSEVELT WAY NE STE C,,SEATTLE,WA,KING,981054764,20180418,2062854005
YOTANEE,ACTIVE (ISSUED),413012,6.02769E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1904 STEWART STREET,,TACOMA,WA,PIERCE,984212921,20180423,2069991112
POTLUCK,ACTIVE (ISSUED),416108,6.03458E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,1106 CANNON WAY   STE C,STE C,COLVILLE,WA,STEVENS,991140000,20180409,4254442925
LOVELY BUDS,ACTIVE (ISSUED),422278,6.03588E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4107 E SPRAGUE AVE,,SPOKANE,WA,SPOKANE,992024850,20180405,2082904347
JEFFERSON COUNTY CANNABIS SPC,ACTIVE (ISSUED),417356,6.03321E+15,MARIJUANA PROCESSOR,69 E PARK AVE SUITE 1,SUITE 1,PORT TOWNSEND,WA,JEFFERSON,983680000,20180510,3608081478
KIBBLE JUNCTION,PENDING (ISSUED),413335,6.03331E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,73 PIT RD STE B,,BREWSTER,WA,OKANOGAN,988129676,20180508,8054054510
VICTORY CANNABIS WA,ACTIVE (ISSUED),424788,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,2000 ROZA DR STE 103,,ZILLAH,WA,YAKIMA,989539361,20180521,4255778224
"TJ'S CANNABIS BUDS, OILS, AND MORE",ACTIVE (ISSUED),415183,6.0355E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1428 OLYMPIC HWY S   STE A,STE A,SHELTON,WA,MASON,985840000,20180430,3604272990
CINC-O-DOS,PENDING (ISSUED),412566,6.03483E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,30334 SE 26TH STREET STE C,STE C,FALL CITY,WA,KING,980247600,20180411,2533709804
EVERGREEN PRODUCTION,ACTIVE (ISSUED),412815,6.04046E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,"100 MAIN ST SUITES 10, 2B & 1","STE 10, STE 2B & STE 1",MONITOR,WA,CHELAN,988369800,20180514,5098818949
URBAN FARMS OF WASHINGTON,ACTIVE (ISSUED),422323,6.03307E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,24 THAYER SOUTH RD  STE A,SUITE A,OROVILLE,WA,OKANOGAN,988449224,20180421,3609015985
VAN HARTEN,ACTIVE (ISSUED),415788,6.03318E+15,MARIJUANA PRODUCER TIER 2,318 MILL ST  STE 420,SUITE 420,SHELTON,WA,MASON,985840000,20180515,3605204025
ALDEN JAY FOOTE,ACTIVE (ISSUED),416127,6.0336E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,6241 COTTONWOOD RD,STE A,WALLA WALLA,WA,WALLA WALLA,993621593,20180403,5093015401
GREENSIDE,ACTIVE (ISSUED),414295,6.03349E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,23407 PACIFIC HWY S,,DES MOINES,WA,KING,981988738,20180430,2069724490
DANDY EXTRACTORS LLC,ACTIVE (ISSUED),415805,6.04153E+15,MARIJUANA PROCESSOR,166 BENSON CREEK DR,STE C,TWISP,WA,OKANOGAN,988569605,20180309,2062613176
COOKIE CUTTER FARMS,ACTIVE (ISSUED),414540,6.04043E+15,MARIJUANA PRODUCER TIER 1,824 S 28TH ST STE C,,TACOMA,WA,PIERCE,984098105,20180403,4256473842
GYPSY GREEN,ACTIVE (ISSUED),421900,6.03295E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,1570 N NATIONAL AVE SUITE 105,,CHEHALIS,WA,LEWIS,985322215,20180310,5055507710
BLUE ROOTS CANNABIS,ACTIVE (ISSUED),413075,6.0335E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,13026 W MCFARLANE RD BLDG D3-1,,AIRWAY HEIGHTS,WA,SPOKANE,990015099,20180426,5092209839
AXABRA,ACTIVE (ISSUED),426700,6.03349E+15,MARIJUANA PRODUCER TIER 3,4014 E SPRAGUE AVE,,SPOKANE,WA,SPOKANE,992024849,20180426,9496569559
DARING FARMS,ACTIVE (ISSUED),415881,6.03388E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1250 W SCHREIBER RD,,KETTLE FALLS,WA,STEVENS,991415032,20180403,5096754229
COUGAR MOUNTAIN GREENS,ACTIVE (ISSUED),417064,6.03363E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,1874 BATUM RD N  STE 100,STE 100,RITZVILLE,WA,ADAMS,991590000,20180503,2063130722
GRASSIN FARMS,ACTIVE (ISSUED),414230,6.03358E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,3660 LINDSAY RD SUITE 1M,,EVERSON,WA,WHATCOM,982479250,20180612,3603937212
PREMIUM CREATIONS,ACTIVE (ISSUED),417586,6.0349E+15,MARIJUANA PROCESSOR,5805 E SHARPE AVE STE 2,,SPOKANE VALLEY,WA,SPOKANE,992120000,20180324,5099617691
RADAR RIDGE FARMS,ACTIVE (ISSUED),426467,6.03351E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,1840 W BLACK ARROW LANE,,OTHELLO,WA,ADAMS,993442200,20180322,5094302072
PRECISION ENTERPRISES,ACTIVE (ISSUED),412429,6.0213E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,16810 415TH AVE SE STE A-3,,GOLD BAR,WA,SNOHOMISH,982510000,20180426,4253155439
BLOOM CANNABIS,ACTIVE (ISSUED),350766,6.03355E+15,MARIJUANA RETAILER,11311 HWY 99,,EVERETT,WA,SNOHOMISH,982044816,20180509,4254443456
STIRLING HORTICULTURE,ACTIVE (ISSUED),420080,6.03448E+15,MARIJUANA PROCESSOR,15612 BEST RD STE A-1,STE A-1,MOUNT VERNON,WA,SKAGIT,982738823,20180608,4259229398
FRESH PRODUCTIONS,ACTIVE (ISSUED),423101,6.0259E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,267 SALMON CREEK RD LOT A,#A,OKANOGAN,WA,OKANOGAN,988408244,20180403,3607912466
MORELLI ENTERPRISES,ACTIVE (ISSUED),416479,6.03361E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,81 ONEIL RD STE A,,OROVILLE,WA,OKANOGAN,988449550,20180403,2532276623
THE CANNABIS CROSSING,ACTIVE (ISSUED),421877,6.03622E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,6733 STATE HWY 303 NE,,BREMERTON,WA,KITSAP,983113736,20180607,3606337379
JR'S,PENDING (ISSUED),412804,6.03504E+15,MARIJUANA PRODUCER TIER 1/MARIJUANA PROCESSOR,65 SIMMONS RD STE 1,,MONTESANO,WA,GRAYS HARBOR,985639526,20180523,3605009079
LOUIS W,ACTIVE (ISSUED),415691,6.03349E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,26725 E MOFFAT RD   STE A,,NEWMAN LAKE,WA,SPOKANE,990259456,20180517,5099909815
GREENHAND,ACTIVE (ISSUED),420898,6.03219E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,2424 N MONROE STREET,,SPOKANE,WA,SPOKANE,992053349,20180518,2067357072
SAVAGE THC,ACTIVE (ISSUED),412066,6.03585E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,4428 WILLIAMS VALLEY RD STE A,,CLAYTON,WA,STEVENS,991109745,20180329,5099992989
